
(186 rows affected)
Master Customer ID,First Order Date,Last Order Date,Lifetime Gross Revenue,Lifetime Discounts,Lifetime Net Revenue,Lifetime # Orders
1401,2012-09-28 22:41:00.000,2012-09-28 22:41:00.000,43.50,-10.01,33.49,1
1398,2012-09-28 20:36:00.000,2013-12-01 08:06:00.000,225.00,-10.01,214.99,15
1396,2012-10-30 21:17:00.000,2012-10-30 21:17:00.000,15.00,-10.01,4.99,1
1382,2012-09-28 15:39:00.000,2018-05-01 12:45:00.000,600.00,-10.01,589.99,37
1379,2012-09-28 07:19:00.000,2013-06-01 13:25:00.000,513.00,-10.01,502.99,6
1375,2012-09-28 02:37:00.000,2014-12-01 15:21:00.000,391.50,0.00,391.50,10
1373,2012-09-28 02:04:00.000,2013-02-01 15:18:00.000,75.00,0.00,75.00,5
1369,2012-09-27 22:24:00.000,2014-12-02 01:18:00.000,216.00,-16.76,199.24,3
1363,2013-06-01 08:49:00.000,2016-04-18 19:42:00.000,604.92,0.00,604.92,35
1361,2012-09-27 17:39:00.000,2012-09-27 17:39:00.000,15.00,-10.01,4.99,1
1353,2012-09-27 13:35:00.000,2012-09-27 13:35:00.000,15.00,-10.01,4.99,1
1326,2012-09-26 14:53:00.000,2012-09-26 14:53:00.000,85.50,0.00,85.50,1
1313,2012-09-25 18:59:00.000,2012-09-25 18:59:00.000,15.00,-10.01,4.99,1
1310,2012-09-25 16:53:00.000,2015-02-01 06:45:00.000,390.00,-10.01,379.99,26
1306,2012-09-25 13:24:00.000,2013-03-01 11:06:00.000,90.00,-10.01,79.99,6
1297,2012-09-25 03:00:00.000,2013-07-01 08:16:00.000,150.00,-10.01,139.99,10
1290,2012-09-25 00:21:00.000,2013-09-01 09:47:00.000,230.76,-12.01,220.75,7
1279,2012-09-24 16:28:00.000,2013-04-01 09:30:00.000,130.50,-10.01,120.49,3
1251,2012-09-23 11:13:00.000,2014-06-01 16:02:00.000,315.00,0.00,315.00,21
1228,2012-09-22 02:30:00.000,2013-01-01 11:47:00.000,60.00,0.00,60.00,4
1227,2012-09-22 01:49:00.000,2015-03-01 07:20:00.000,450.00,0.00,450.00,30
1220,2012-09-21 18:33:00.000,2014-12-01 16:21:00.000,373.50,0.00,373.50,4
1206,2012-09-20 20:59:00.000,2012-11-01 13:30:00.000,30.00,-10.01,19.99,2
1202,2012-09-20 16:46:00.000,2016-06-07 21:10:00.000,350.00,0.00,350.00,7
1201,2012-09-20 16:11:00.000,2012-12-01 12:29:00.000,45.00,-10.01,34.99,3
1189,2012-09-20 00:34:00.000,2012-09-20 00:34:00.000,15.00,-10.01,4.99,1
1175,2012-11-01 10:58:00.000,2013-08-01 10:41:00.000,155.49,-13.01,144.48,11
1167,2012-09-18 16:24:00.000,2013-06-01 08:22:00.000,135.00,-10.01,124.99,9
1133,2012-09-14 14:09:00.000,2012-09-14 14:09:00.000,43.50,-10.01,33.49,1
1114,2012-09-13 01:56:00.000,2012-12-01 11:59:00.000,45.00,-10.01,34.99,3
1111,2012-09-12 16:35:00.000,2013-12-20 13:12:00.000,195.00,-10.01,184.99,8
1097,2012-09-10 21:24:00.000,2012-12-01 11:53:00.000,45.00,-10.01,34.99,3
1086,2012-09-08 19:42:00.000,2013-07-01 07:38:00.000,150.00,-10.01,139.99,10
1085,2012-09-08 19:31:00.000,2012-11-01 12:29:00.000,30.00,-10.01,19.99,2
1075,2012-09-07 16:49:00.000,2014-04-01 06:00:00.000,342.00,-10.01,331.99,4
1057,2012-09-06 15:06:00.000,2017-12-18 14:29:00.000,118.50,-10.01,108.49,5
1056,2012-09-06 14:10:00.000,2013-10-10 16:18:00.000,330.00,-37.01,292.99,11
1053,2012-09-06 02:00:00.000,2017-01-01 15:20:00.000,570.00,0.00,570.00,32
1045,2012-09-05 23:12:00.000,2013-01-01 10:40:00.000,60.00,-10.01,49.99,4
1036,2012-09-05 00:45:00.000,2012-09-05 00:45:00.000,15.00,-10.01,4.99,1
1028,2012-09-04 11:44:00.000,2013-10-01 06:58:00.000,330.00,-10.01,319.99,2
1001,2012-09-02 19:46:00.000,2013-08-01 07:39:00.000,180.00,-10.01,169.99,12
975,2012-09-01 14:28:00.000,2013-02-01 13:41:00.000,90.00,-10.01,79.99,6
971,2012-09-01 02:23:00.000,2018-05-01 00:03:00.000,1019.85,-10.01,1051.83,68
963,2012-08-31 21:13:00.000,2012-08-31 21:13:00.000,43.50,-10.01,33.49,1
962,2012-08-31 20:53:00.000,2013-11-01 06:47:00.000,225.00,-10.01,214.99,15
954,2012-08-31 19:08:00.000,2013-01-01 10:08:00.000,75.00,-10.01,64.99,5
932,2012-08-30 21:05:00.000,2012-11-01 11:12:00.000,45.00,-10.01,37.79,3
920,2012-08-30 02:17:00.000,2013-04-01 07:59:00.000,120.00,0.00,120.00,8
913,2012-08-29 23:17:00.000,2013-09-01 07:08:00.000,311.76,-10.01,301.75,14
908,2012-08-29 19:45:00.000,2013-09-01 07:07:00.000,195.00,-10.01,184.99,13
905,2012-08-29 18:33:00.000,2012-08-29 18:33:00.000,43.50,-10.01,33.49,1
897,2012-08-29 02:37:00.000,2012-11-01 13:42:00.000,75.00,-10.01,64.99,5
894,2012-08-28 23:47:00.000,2012-08-28 23:47:00.000,43.50,-10.01,33.49,1
889,2012-08-28 18:07:00.000,2013-12-24 15:44:00.000,75.00,-14.51,60.49,3
884,2012-08-28 14:20:00.000,2012-10-01 11:11:00.000,30.00,-10.01,19.99,2
878,2012-08-28 02:05:00.000,2012-08-28 02:05:00.000,15.00,-10.01,4.99,1
875,2012-08-28 00:28:00.000,2012-08-28 00:28:00.000,15.00,-10.01,4.99,1
864,2012-08-27 16:00:00.000,2017-08-01 05:50:00.000,474.94,-10.01,464.93,21
860,2012-08-27 15:05:00.000,2013-09-01 06:58:00.000,256.50,-10.01,246.49,3
847,2012-08-27 01:28:00.000,2012-10-04 04:06:00.000,30.00,-10.01,19.99,2
835,2012-08-26 16:20:00.000,2015-02-01 06:40:00.000,427.50,-10.01,417.49,8
832,2012-08-26 15:36:00.000,2015-07-03 15:35:00.000,525.00,0.00,525.00,35
825,2012-08-26 03:11:00.000,2013-09-01 06:44:00.000,217.50,-10.01,226.37,5
812,2012-08-24 21:47:00.000,2012-10-01 10:32:00.000,30.00,0.00,30.00,2
810,2012-08-24 16:17:00.000,2012-08-24 16:17:00.000,15.00,-10.01,4.99,1
809,2012-08-24 14:36:00.000,2012-08-24 14:36:00.000,15.00,-10.01,4.99,1
807,2012-08-24 14:12:00.000,2013-11-01 16:41:00.000,210.00,-10.01,199.99,14
776,2012-08-22 02:54:00.000,2013-04-01 07:31:00.000,135.00,-10.01,124.99,9
774,2012-08-22 00:30:00.000,2012-08-22 00:30:00.000,43.50,-10.01,33.49,1
764,2012-08-21 20:50:00.000,2013-06-02 04:13:00.000,105.00,-10.01,94.99,7
754,2012-08-21 18:54:00.000,2013-05-01 07:32:00.000,135.00,-10.01,124.99,9
740,2012-08-21 01:09:00.000,2012-11-01 13:21:00.000,45.00,-10.01,34.99,3
730,2012-08-20 21:01:00.000,2012-08-20 21:01:00.000,15.00,-10.01,4.99,1
729,2012-08-20 19:48:00.000,2012-08-20 19:48:00.000,15.00,-10.01,4.99,1
727,2012-08-20 18:13:00.000,2012-08-20 18:13:00.000,15.00,0.00,15.00,1
709,2012-08-20 00:10:00.000,2013-01-01 09:00:00.000,75.00,0.00,75.00,5
698,2012-08-19 17:42:00.000,2012-12-01 09:20:00.000,60.00,-10.01,49.99,4
695,2012-08-19 14:43:00.000,2013-01-01 08:55:00.000,90.00,-20.02,69.98,6
666,2012-08-15 17:23:00.000,2013-12-01 07:03:00.000,240.00,-10.01,229.99,16
